State,Month,Region_Type,ANC_Registered,Adult_Death_TB,Adult_Suicide,C_Section,Child_Diarrhoea,Child_Malaria,Child_TB,Condoms_Distributed,Early_Breastfeeding,Immunization_MR,Infant_Death_Sepsis,Institutional_Delivery,Low_Birth_Weight,Maternal_Death_Bleeding,PW_Hypertension,Severe_Anaemia_Treated
Chandigarh,August,Urban,1307.0,0.0,0.0,102.0,439.0,1.0,0.0,117038.0,494.0,1333.0,0.0,633.0,62.0,0.0,36.0,52.0
Chandigarh,December,Rural,1251.0,18.0,4.0,761.0,314.0,1.0,0.0,4540.0,1680.0,68.0,9.0,1940.0,537.0,0.0,148.0,11.0
Chandigarh,December,Urban,1492.0,0.0,0.0,103.0,307.0,0.0,0.0,108665.0,630.0,1062.0,0.0,661.0,92.0,0.0,42.0,44.0
Chandigarh,February,Rural,1272.0,19.0,1.0,680.0,443.0,0.0,2.0,10540.0,1202.0,85.0,6.0,1674.0,454.0,0.0,174.0,15.0
Chandigarh,February,Urban,1852.0,0.0,0.0,96.0,437.0,0.0,0.0,127712.0,543.0,1094.0,0.0,568.0,70.0,0.0,39.0,25.0
Chandigarh,January,Rural,1278.0,26.0,4.0,701.0,232.0,0.0,0.0,9720.0,1629.0,90.0,4.0,1876.0,513.0,0.0,225.0,11.0
Chandigarh,January,Urban,1587.0,0.0,0.0,127.0,379.0,0.0,0.0,121810.0,634.0,1152.0,0.0,657.0,79.0,0.0,36.0,28.0
Chandigarh,July,Rural,1532.0,21.0,7.0,738.0,474.0,2.0,2.0,7900.0,1602.0,99.0,19.0,1928.0,484.0,0.0,90.0,20.0
Chandigarh,July,Urban,1937.0,0.0,0.0,107.0,626.0,0.0,1.0,176896.0,579.0,1513.0,0.0,598.0,86.0,0.0,32.0,44.0
Chandigarh,June,Rural,1331.0,16.0,8.0,623.0,704.0,3.0,0.0,3880.0,1281.0,100.0,13.0,1498.0,443.0,0.0,59.0,19.0
Chandigarh,June,Urban,1432.0,0.0,0.0,86.0,672.0,0.0,0.0,110530.0,458.0,1342.0,0.0,487.0,59.0,0.0,29.0,30.0
Chandigarh,March,Rural,911.0,21.0,9.0,594.0,190.0,0.0,0.0,4515.0,1099.0,55.0,4.0,1499.0,401.0,0.0,127.0,9.0
Chandigarh,March,Urban,1251.0,0.0,0.0,106.0,344.0,0.0,0.0,114620.0,526.0,738.0,0.0,554.0,67.0,0.0,22.0,22.0
Chandigarh,May,Rural,2115.0,1.0,5.0,604.0,334.0,4.0,2.0,3800.0,1078.0,153.0,3.0,1409.0,373.0,0.0,72.0,18.0
Chandigarh,May,Urban,1900.0,0.0,0.0,102.0,793.0,0.0,1.0,103190.0,452.0,1431.0,0.0,478.0,63.0,0.0,24.0,38.0
Chandigarh,November,Rural,1238.0,18.0,6.0,791.0,502.0,3.0,0.0,4540.0,1722.0,125.0,8.0,1924.0,556.0,0.0,164.0,14.0
Chandigarh,November,Urban,1370.0,0.0,0.0,131.0,349.0,0.0,0.0,112080.0,653.0,1325.0,0.0,677.0,89.0,0.0,60.0,26.0
Chandigarh,October,Rural,1154.0,20.0,4.0,732.0,320.0,3.0,1.0,3880.0,1753.0,85.0,19.0,1998.0,574.0,0.0,75.0,12.0
Chandigarh,October,Urban,1304.0,0.0,0.0,107.0,357.0,0.0,1.0,108255.0,593.0,1231.0,0.0,623.0,65.0,0.0,35.0,25.0
Chandigarh,September,Rural,1334.0,22.0,9.0,701.0,440.0,9.0,4.0,3880.0,1695.0,96.0,6.0,1942.0,516.0,0.0,79.0,22.0
Chandigarh,September,Urban,1513.0,0.0,0.0,114.0,375.0,5.0,0.0,101220.0,594.0,1269.0,0.0,609.0,112.0,0.0,34.0,45.0
Chhattisgarh,April,Rural,43460.0,34.0,176.0,3368.0,8924.0,1009.0,36.0,294214.0,32009.0,31668.0,32.0,32669.0,3515.0,4.0,898.0,1077.0
Chhattisgarh,April,Urban,7403.0,0.0,4.0,2358.0,1209.0,4.0,0.0,31706.0,5205.0,6322.0,0.0,5293.0,341.0,1.0,165.0,109.0
Chhattisgarh,August,Rural,44429.0,52.0,210.0,3297.0,11338.0,1247.0,26.0,389995.0,33430.0,38825.0,57.0,33792.0,4288.0,6.0,1033.0,1067.0
Chhattisgarh,August,Urban,8302.0,2.0,8.0,4354.0,1073.0,27.0,0.0,28493.0,7502.0,8474.0,3.0,7778.0,436.0,1.0,163.0,210.0
Chhattisgarh,December,Rural,44190.0,46.0,211.0,3399.0,7019.0,2311.0,23.0,386632.0,35639.0,42386.0,33.0,36029.0,4444.0,5.0,1138.0,1046.0
Chhattisgarh,December,Urban,8952.0,1.0,6.0,2475.0,851.0,7.0,0.0,26349.0,5521.0,7515.0,0.0,5621.0,399.0,1.0,175.0,138.0
Chhattisgarh,February,Rural,44970.0,31.0,191.0,3325.0,7761.0,1584.0,7.0,379526.0,31946.0,46314.0,31.0,32756.0,3736.0,4.0,926.0,782.0
Chhattisgarh,February,Urban,9836.0,1.0,13.0,2329.0,832.0,5.0,3.0,26439.0,4637.0,9822.0,3.0,5255.0,325.0,0.0,171.0,61.0
Chhattisgarh,January,Rural,46850.0,43.0,196.0,3558.0,7369.0,2328.0,41.0,391497.0,34847.0,40375.0,53.0,35437.0,4488.0,5.0,1078.0,1170.0
Chhattisgarh,January,Urban,10242.0,0.0,8.0,2903.0,835.0,2.0,1.0,24004.0,6459.0,8352.0,1.0,6608.0,416.0,1.0,187.0,81.0
Chhattisgarh,July,Rural,50415.0,42.0,230.0,3235.0,11594.0,1094.0,15.0,485136.0,32516.0,44025.0,52.0,32855.0,4108.0,3.0,909.0,1361.0
Chhattisgarh,July,Urban,8725.0,1.0,10.0,2413.0,1216.0,10.0,1.0,42881.0,5616.0,8217.0,1.0,5703.0,838.0,0.0,153.0,158.0
Chhattisgarh,June,Rural,48132.0,38.0,210.0,3322.0,10114.0,753.0,28.0,303629.0,31483.0,39281.0,28.0,32099.0,3757.0,7.0,912.0,1157.0
Chhattisgarh,June,Urban,7317.0,1.0,4.0,2188.0,790.0,5.0,2.0,22053.0,5100.0,7002.0,0.0,5138.0,294.0,0.0,166.0,95.0
Chhattisgarh,March,Rural,43148.0,30.0,184.0,3263.0,7317.0,932.0,468.0,380421.0,31141.0,46039.0,53.0,31678.0,3871.0,6.0,849.0,772.0
Chhattisgarh,March,Urban,8783.0,0.0,12.0,3515.0,591.0,3.0,0.0,24395.0,6291.0,7981.0,1.0,6818.0,274.0,0.0,120.0,45.0
Chhattisgarh,May,Rural,45642.0,49.0,223.0,3374.0,10435.0,901.0,15.0,302721.0,31979.0,37417.0,16.0,32778.0,3606.0,6.0,955.0,1121.0
Chhattisgarh,May,Urban,7616.0,3.0,13.0,2660.0,1102.0,2.0,0.0,23944.0,5132.0,6718.0,1.0,5691.0,284.0,1.0,163.0,120.0
Chhattisgarh,November,Rural,47393.0,52.0,182.0,3267.0,7043.0,1965.0,12.0,384707.0,36037.0,44812.0,27.0,36399.0,4628.0,9.0,1242.0,1180.0
Chhattisgarh,November,Urban,8833.0,2.0,12.0,2836.0,859.0,5.0,1.0,23408.0,6582.0,7141.0,0.0,6706.0,421.0,1.0,172.0,162.0
Chhattisgarh,October,Rural,41901.0,46.0,219.0,3225.0,7345.0,1213.0,14.0,351124.0,34109.0,41349.0,37.0,34738.0,4532.0,5.0,861.0,1125.0
Chhattisgarh,October,Urban,7514.0,5.0,7.0,2355.0,888.0,7.0,0.0,25617.0,6383.0,8241.0,0.0,6563.0,496.0,0.0,147.0,155.0
Chhattisgarh,September,Rural,44669.0,56.0,194.0,3022.0,9466.0,1332.0,9.0,368709.0,31588.0,41153.0,39.0,32153.0,4354.0,8.0,929.0,1633.0
Chhattisgarh,September,Urban,8235.0,4.0,10.0,2868.0,994.0,4.0,0.0,26192.0,6327.0,8582.0,2.0,6446.0,446.0,0.0,161.0,180.0
Dadra & Nagar Haveli,April,Rural,632.0,0.0,3.0,229.0,181.0,0.0,1.0,14743.0,629.0,365.0,2.0,678.0,222.0,0.0,46.0,27.0
Dadra & Nagar Haveli,April,Urban,204.0,0.0,0.0,38.0,0.0,0.0,0.0,17360.0,56.0,200.0,0.0,73.0,9.0,0.0,0.0,0.0
Dadra & Nagar Haveli,August,Rural,491.0,5.0,7.0,231.0,456.0,0.0,1.0,22344.0,637.0,555.0,0.0,703.0,269.0,0.0,28.0,16.0
Dadra & Nagar Haveli,August,Urban,155.0,0.0,0.0,51.0,0.0,0.0,0.0,49080.0,86.0,208.0,0.0,87.0,7.0,0.0,0.0,0.0
Dadra & Nagar Haveli,December,Rural,407.0,0.0,4.0,186.0,177.0,0.0,0.0,42337.0,720.0,411.0,0.0,768.0,260.0,0.0,49.0,16.0
Dadra & Nagar Haveli,December,Urban,169.0,0.0,0.0,65.0,0.0,0.0,0.0,46500.0,104.0,219.0,0.0,115.0,26.0,0.0,88.0,0.0
Dadra & Nagar Haveli,February,Rural,453.0,1.0,6.0,223.0,162.0,1.0,0.0,43802.0,660.0,415.0,1.0,724.0,278.0,0.0,37.0,22.0
Dadra & Nagar Haveli,February,Urban,144.0,0.0,0.0,53.0,0.0,0.0,0.0,51480.0,96.0,210.0,0.0,97.0,9.0,0.0,0.0,0.0
Dadra & Nagar Haveli,January,Rural,479.0,0.0,3.0,158.0,176.0,0.0,0.0,38641.0,659.0,474.0,1.0,666.0,246.0,0.0,35.0,11.0
Dadra & Nagar Haveli,January,Urban,170.0,0.0,0.0,51.0,0.0,0.0,0.0,51660.0,87.0,212.0,0.0,85.0,14.0,0.0,0.0,0.0
Dadra & Nagar Haveli,July,Rural,507.0,3.0,4.0,187.0,408.0,0.0,0.0,19938.0,554.0,530.0,1.0,587.0,203.0,0.0,39.0,20.0
Dadra & Nagar Haveli,July,Urban,189.0,0.0,0.0,31.0,0.0,0.0,0.0,21040.0,55.0,261.0,0.0,71.0,8.0,0.0,0.0,0.0
Dadra & Nagar Haveli,June,Rural,600.0,0.0,8.0,155.0,202.0,2.0,0.0,18095.0,597.0,471.0,0.0,611.0,205.0,1.0,26.0,12.0
Dadra & Nagar Haveli,June,Urban,160.0,0.0,0.0,39.0,0.0,0.0,0.0,20428.0,49.0,254.0,0.0,71.0,0.0,0.0,0.0,0.0
